题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,,,,,,,,
下列实验操作中正确的是( ),手持试管给试管里的物质加热,将鼻孔凑到集气瓶口闻气体的气味,酒精灯的火焰可以用嘴吹灭,一般用药匙或镊子取用固体药品,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/188628ffd2b50aa7e00c1f980c28_14216864ex.png,aa7e00c1f980c28_14216864ex.png,,,,,,,,,,,,
如图所示，下列实验操作与方法正确的是（ ）,检查容量瓶是否漏水的方法 <img alt="图片_x0020_100001" height="71" src="/files/attach/files/content/2020/0325/2172e107c80e24c54eb1e9ea5d58ba8c.png" width="33",滴加液体 <img alt="图片_x0020_100002" height="73" src="/files/attach/files/content/2020/0325/1b3538abb2eb12ede872ca793f3f8090.png" width="15",给溶液加热 <img alt="图片_x0020_100003" height="65" src="/files/attach/files/content/2020/0325/70419c55989f2d19acb0d08dbefcfb9e.png" width="69",过滤 <img alt="图片_x0020_100004" height="70" src="/files/attach/files/content/2020/0325/1a660cbd2d41218e04878c4fb33d25bd.png" width="40",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/65a3488e88dd6a2ca167512c62bd_14518127ex.png,a2ca167512c62bd_14518127ex.png,,,,,,,,,,,,
下列物质与常用危险化学品的类别不对应的是（ ）,氯气一易燃气体,汽油——易燃液体,硫酸——腐蚀品,高锰酸钾——氧化剂,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9bf6b045f92392f62aa7da08d3ad_7129751ex.png,92f62aa7da08d3ad_7129751ex.png,,,,,,,,,,,,
下列基本实验操作与所需关键仪器合理的是（ ）,过滤（泥三角）,蒸馏（分液漏斗）,蒸发（蒸发皿）,萃取（玻璃棒）,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/421d3db25101cb8f9b5d15cb394d_2745445ex.png,cb8f9b5d15cb394d_2745445ex.png,,,,,,,,,,,,
物质的性质不同，其存放的方法也不同。下列物质的存放方法正确的是( ),浓硫酸可敞口保存在细口瓶中,液溴存放在加有少量水的棕色试剂瓶中,氢氟酸密封保存在细口玻璃瓶中,金属钠密封保存在装有水的试剂瓶中,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a207d8d39251c1f7da7ace0d504d_10535336ex.png,1f7da7ace0d504d_10535336ex.png,,,,,,,,,,,,
对于易燃、易爆、有毒的化学物质，往往会在其包装上贴上危险警告标签。下面所列的物质中，标签贴错了的是 ( )  选项ABCD物质的化学式NaOH汽油KClO3乙醇危险警告标签,A,B,C,D,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/abc6ca0b485e3c9bf6abbdf6ac1e_9252596ex.png,3c9bf6abbdf6ac1e_9252596ex.png,,,,,,,,,,,,
在盛放浓硫酸的试剂瓶上应印有如图所示警示标记中的（　　）,img alt="" height="103" src="/files/attach/files/content/2020/0325/b61d7528ad8b6245514c55ec33b8d49c.png" v:shapes="_x0000_i1036" width="103",img alt="" height="99" src="/files/attach/files/content/2020/0325/0f0827510b8605e331e602b640098a2a.png" v:shapes="_x0000_i1035" width="106",img alt="" height="107" src="/files/attach/files/content/2020/0325/6051b0bda499f8c87a41cd62727b08ec.png" v:shapes="_x0000_i1034" width="106",img alt="" height="106" src="/files/attach/files/content/2020/0325/6e90eee9849cda73751ef620d653809f.png" v:shapes="_x0000_i1033" width="107",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/32b13d47ca1e80eee16d6aff8111_5334379ex.png,80eee16d6aff8111_5334379ex.png,,,,,,,,,,,,
下列物质与常用危险化学品的类别不对应的是（ ）,H<sub>2</sub>SO<sub>4</sub>、NaOH﹣﹣腐蚀品,CH<sub>4</sub>﹣﹣易燃液体,Na﹣﹣遇湿易燃物品,KMnO<sub>4</sub>﹣﹣氧化剂,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/254af3461fbd4d1fe5408287d6b5_3894203ex.png,4d1fe5408287d6b5_3894203ex.png,,,,,,,,,,,,
下列实验操作与安全事故处理不正确的是：（ ）,用试管夹从试管底部由下往上夹住距试管口约1/3处，手持试管夹长柄末端，进行加热,将CO中毒者移动到通风处抢救,不慎将浓H<sub>2</sub>SO<sub>4</sub>溅到皮肤上，应立即用NaOH稀溶液进行冲洗,眼睛里不慎溅入药液，应立即用水冲洗，边洗边眨眼，不可用手揉眼睛,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/837c089cf9422ae33f356dff0d78_7006149ex.png,2ae33f356dff0d78_7006149ex.png,,,,,,,,,,,,
下列有关实验安全的做法正确的是（　　）,金属钠着火时使用泡沫灭火器灭火,蒸馏实验时向蒸馏瓶中放入几粒沸石（或碎瓷片）,用试管加热碳酸氢钠固体时使试管口竖直向上,浓硫酸溅到皮肤上时立即用稀氢氧化钠溶液冲洗,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ca8cf070a9894fe6bda9835ebeeb_5172153ex.png,4fe6bda9835ebeeb_5172153ex.png,,,,,,,,,,,,
下列操作过程中一定有氧化还原反应发生的是（ ）,img height="105" src="/files/attach/files/content/2020/0325/a4cd9b507490e3b32e7c4bcf7c9bdd32.png" v:shapes="图片_x0020_100001" width="135",img height="86" src="/files/attach/files/content/2020/0325/b3ea11ff746c5d2d05653157da036f78.png" v:shapes="图片_x0020_100002" width="86",img height="96" src="/files/attach/files/content/2020/0325/168b50bfc170776dc8bdb70b22a8dd8c.png" v:shapes="图片_x0020_100003" width="122",img height="96" src="/files/attach/files/content/2020/0325/b05c70047dc4ae748ca5d7389cf4c364.png" v:shapes="图片_x0020_100004" width="115",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b7c5e39f5b2120702d4b6e5101e5_6377255ex.png,20702d4b6e5101e5_6377255ex.png,,,,,,,,,,,,
下列仪器名称不正确的是（ ）,img height="83" src="/files/attach/files/content/2020/0325/494520be01ef7b974d0d852634a25bfb.png" v:shapes="图片_x0020_26" width="84",img height="83" src="/files/attach/files/content/2020/0325/25a04ec779f66f347ca7e293e0423721.jpg" v:shapes="图片_x0020_27" width="58",img height="82" src="/files/attach/files/content/2020/0325/3240cb28e8a37628730186036c695168.jpg" v:shapes="图片_x0020_28" width="53",img height="82" src="/files/attach/files/content/2020/0325/5366d7552973d25438c76f71a53fcdae.jpg" v:shapes="图片_x0020_29" width="63",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ebd153d86493198f8220655e5324_9167762ex.png,198f8220655e5324_9167762ex.png,,,,,,,,,,,,
以下是实验室常用的部分仪器，能作反应容器且可直接加热的仪器是（ ）,①②③④,②③,①②,②,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d96b39132a45817748b1f9ce5ee8_11292762ex.png,17748b1f9ce5ee8_11292762ex.png,,,,,,,,,,,,
实验室里钠保存在下列哪种液体中（ ）,煤油,水,苯,四氯化碳,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c6173bb2010c2c8e3e1077818e0a_3894116ex.png,2c8e3e1077818e0a_3894116ex.png,,,,,,,,,,,,
下列关于仪器的使用说法错误的是（ ）,滴定管装滴定液时应先用滴定液润洗,锥形瓶用作反应容器时应垫石棉网加热,蒸馏时温度计水银球应高于蒸馏瓶支管口,振荡分液漏斗时应关闭其玻璃塞和活塞,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/47f2782a53628baff81e1bb2c6c8_10977285ex.png,baff81e1bb2c6c8_10977285ex.png,,,,,,,,,,,,
一些装有化学物质的容器上常贴有危险化学品的标志。下列标志中，应贴在装有NaOH固体的容器上的是（ ）,img height="72" src="/files/attach/files/content/2020/0325/89e853b24cf9c2fbf0aed2febd8e4aff.png" v:shapes="图片_x0020_100001" width="72",img height="69" src="/files/attach/files/content/2020/0325/05ebaf06cd391598b3f6ff29cbd586bf.png" v:shapes="图片_x0020_100002" width="69",img height="76" src="/files/attach/files/content/2020/0325/6a4923158e229d47abbc8160343783a9.png" v:shapes="图片_x0020_100003" width="76",img height="69" src="/files/attach/files/content/2020/0325/497df94eb5e4e32e7748a5e9a6737ce0.png" v:shapes="图片_x0020_100004" width="69",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f65d996a0c03fc117a13ac38d87c_7129345ex.png,fc117a13ac38d87c_7129345ex.png,,,,,,,,,,,,
仪器名称为“分液漏斗”的是（ ）,img alt="" height="88" src="/files/attach/files/content/2020/0325/b8e091bd7934f989f090e5a546714a32.png" v:shapes="图片24" width="56",img alt="" height="95" src="/files/attach/files/content/2020/0325/1442a6721ea50a0868cdd33dbede3d8f.png" v:shapes="_x0000_i1026" width="39",img alt="" height="96" src="/files/attach/files/content/2020/0325/5e7cb44bf1a8e7f423ca03c5a745234a.png" v:shapes="_x0000_i1027" width="49",img alt="" height="100" src="/files/attach/files/content/2020/0325/e4b22045a4c3f5a49451b5e1273ff7d1.png" v:shapes="_x0000_i1028" width="46",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e778daa7d00a1260b36357e636f6_3877043ex.png,1260b36357e636f6_3877043ex.png,,,,,,,,,,,,
适合贴在存放浓酸、浓碱药品柜上的图标是（ ）,img alt="" height="81" src="/files/attach/files/content/2020/0325/363c66ab3a4de3a27dcf8c2d9623536d.png" v:shapes="_x0000_i1037" width="85",img alt="" height="76" src="/files/attach/files/content/2020/0325/207bac8e997a3645d0e446f3463efad7.png" v:shapes="_x0000_i1038" width="79",img alt="" height="81" src="/files/attach/files/content/2020/0325/3311cdcd2fd5654e469c5b53943c8be9.png" v:shapes="_x0000_i1039" width="87",img alt="" height="82" src="/files/attach/files/content/2020/0325/7e792fbbfe817b45a328577e8f3ba8fe.png" v:shapes="_x0000_i1040" width="86",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2d300f8ba46b0893db4b450db6c_3894206ex.png,b0893db4b450db6c_3894206ex.png,,,,,,,,,,,,
在实验室中进行蒸发和过滤操作，都要用到的仪器是（ ）,烧杯,蒸发皿,酒精灯,玻璃棒,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2cb840bcc048cba6d50f69f1efd_3877046ex.png,8cba6d50f69f1efd_3877046ex.png,,,,,,,,,,,,
2011年日本福岛一核电站发生爆炸，释放出大量放射性物质，下列图标警示的是放射性物品的是（　　）,img alt="" height="99" src="/files/attach/files/content/2020/0325/23bdd61a746159077206e5e047d03173.png" v:shapes="_x0000_i1055" width="106",img alt="" height="97" src="/files/attach/files/content/2020/0325/658bb7e17791ace7c053627e97f89b36.png" v:shapes="_x0000_i1054" width="104",img alt="" height="102" src="/files/attach/files/content/2020/0325/1e380d10106e3ae818b05363b8615bfa.png" v:shapes="_x0000_i1053" width="104",img alt="" height="95" src="/files/attach/files/content/2020/0325/1f94f7ada9333ef805c1007ff0d198a1.png" v:shapes="_x0000_i1052" width="101",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/76e18e8d412c864330bd167cc259_6199715ex.png,864330bd167cc259_6199715ex.png,,,,,,,,,,,,
贴有下列危险品标志的药品起火时，不能用水灭火的是（ ）,img alt="" height="102" src="/files/attach/files/content/2020/0325/e96b207d3c04c97c70d4db2d2724eafa.png" v:shapes="picture24" width="103"/> 剧毒品,img alt="" height="119" src="/files/attach/files/content/2020/0325/6974d144bcee21bca4234579b1c39d4a.png" v:shapes="_x0000_i1026" width="122"/> 遇湿易燃物品,img alt="" height="107" src="/files/attach/files/content/2020/0325/87a929a6bf5929e7be5e22d3880a0071.png" v:shapes="_x0000_i1027" width="107"/> 腐蚀品,img alt="" height="102" src="/files/attach/files/content/2020/0325/942c28790e7c91e44ae823bdcd6cfb62.png" v:shapes="_x0000_i1028" width="102"/> 有害品（远离食品）,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4b90b022b249cec606086bcf1a10_2772075ex.png,cec606086bcf1a10_2772075ex.png,,,,,,,,,,,,
下列仪器名称为“容量瓶”的是（）,img height="47" src="/files/attach/files/content/2020/0325/ece2659f71222aaca6b189948297f876.jpg" v:shapes="图片_x0020_1" width="48",img height="56" src="/files/attach/files/content/2020/0325/a83460482a00dbb20458b4e1769d9791.jpg" v:shapes="图片_x0020_2" width="49",img height="66" src="/files/attach/files/content/2020/0325/05cb559ae511b04af614449a37f0edd6.jpg" v:shapes="图片_x0020_3" width="32",img height="69" src="/files/attach/files/content/2020/0325/da55ea71ac8abb0deeae808b5f52f178.jpg" v:shapes="图片_x0020_4" width="29",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/66a9ad38adb759f4564ff11d22bd_11639746ex.png,9f4564ff11d22bd_11639746ex.png,,,,,,,,,,,,
下列实验操作中，不正确的是（ ）,用量筒量取30mL溶液,用四氯化碳萃取碘水中的碘,用托盘天平称取2.5g固体,用温度计代替玻璃棒搅拌溶液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f90c4737618c5f30d66477a60889_10565900ex.png,f30d66477a60889_10565900ex.png,,,,,,,,,,,,
下列仪器名称为“干燥管”的是（ ）,img alt="图片_x0020_100001" height="59" src="/files/attach/files/content/2020/0325/d5a0370f89879993b8641ab11bcdb86e.png" width="28",img alt="图片_x0020_100002" height="57" src="/files/attach/files/content/2020/0325/94f76857852e02e5d6ebbe4be3c1a21e.png" width="43",img alt="图片_x0020_100003" height="68" src="/files/attach/files/content/2020/0325/fa9f34819ba2aef29e9fd33172d28e15.png" width="24",img alt="图片_x0020_100004" height="56" src="/files/attach/files/content/2020/0325/dc02b19145a2b0a204cdbeefb7c60f64.png" width="31",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2c1deadc4c56be0c15303ca373e4_13573224ex.png,e0c15303ca373e4_13573224ex.png,,,,,,,,,,,,
下列试剂的保存错误的是（ ）,漂白粉必须密封保存,新制的氯水用棕色瓶保存,液溴用一层水封盖再密封保存,固体碘放在棕色细口瓶中,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a255e27d5907cb5a3dca622ad0c3_14518689ex.png,b5a3dca622ad0c3_14518689ex.png,,,,,,,,,,,,
给150 mL某液体加热的操作中，所需的仪器是（ ）①试管 ②烧杯 ③酒精灯 ④试管夹 ⑤石棉网 ⑥泥三角 ⑦坩埚 ⑧铁三脚架,③⑥⑦⑧,②③⑤⑧,①③④⑤,②③⑤⑥,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fb36094fb49a1ad79df038094af6_1301842ex.png,1ad79df038094af6_1301842ex.png,,,,,,,,,,,,
盛放酒精的仓库门上所贴的标签是（ ）,img height="104" src="/files/attach/files/content/2020/0325/e41b757ace6d3141dfea3b582269a221.png" v:shapes="图片_x0020_100001" width="112",img height="105" src="/files/attach/files/content/2020/0325/2dee31fb86f43789b1cee6cf946ad334.png" v:shapes="图片_x0020_100002" width="121",img height="99" src="/files/attach/files/content/2020/0325/5b4b32a69bbbbe987190c315f93cb495.png" v:shapes="图片_x0020_100003" width="115",img height="103" src="/files/attach/files/content/2020/0325/35313e5a1af6fb6f105d725aa92e57dc.png" v:shapes="图片_x0020_100004" width="114",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5cb74bc93d28f3f75384617344c8_6375663ex.png,f3f75384617344c8_6375663ex.png,,,,,,,,,,,,
进行化学实验必须注意安全和操作规范，下列说法错误的是（）,进行分液操作时，下层液体从分液漏斗的下口放出，上层液体从上口倒出,实验室进行蒸馏实验结束时，应先撤酒精灯，继续通冷凝水一段时间,实验室中进行可燃性气体燃烧性质实验时，必须先验纯、再点燃,配制稀硫酸时，可先在量筒中加一定体积的水，再在搅拌下慢慢加入浓硫酸,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d23a61f89ae1df257f66909d68b5_10659456ex.png,f257f66909d68b5_10659456ex.png,,,,,,,,,,,,
用某种仪器量一液体体积时，平视读数为V1mL，仰视读数为V2mL，俯视读数为V3mL，若V3＞V1＞V2  ， 则所使用仪器可能是（　　）,容量瓶,量筒,碱式滴定管,以上仪器均不可能,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d858bfac7bd695dcf40df2f50a21_6277141ex.png,95dcf40df2f50a21_6277141ex.png,,,,,,,,,,,,
下列仪器名称为“漏斗”的是（ ）,img height="63" src="/files/attach/files/content/2020/0325/1126f81d69ca6e4a6a7077f40be1ecf0.png" v:shapes="组合_x0020_10856 freeform_x0020_27 freeform_x0020_28 freeform_x0020_29 freeform_x0020_30 group_x0020_31 autoshape_x0020_32 freeform_x0020_33 freeform_x0020_34 group_x0020_35 autoshape_x0020_36 freeform_x0020_37 freeform_x0020_38 autoshape_x0020_39 autoshape_x0020_40 autoshape_x0020_41 autoshape_x0020_42" width="16",img height="67" src="/files/attach/files/content/2020/0325/2abe9a64abe4f8ffee6c6514c9e140f3.png" v:shapes="组合_x0020_10999 group_x0020_33 autoshape_x0020_34 autoshape_x0020_35 group_x0020_36 line_x0020_37 line_x0020_38 group_x0020_39 autoshape_x0020_40 group_x0020_41 oval_x0020_42 oval_x0020_43 autoshape_x0020_44 autoshape_x0020_45 autoshape_x0020_46 rectangle_x0020_47 freeform_x0020_48 freeform_x0020_49 autoshape_x0020_50 line_x0020_51" width="28",img height="57" src="/files/attach/files/content/2020/0325/0446f286d8ec2ab1655183842e7d1fd0.png" v:shapes="组合_x0020_10509 group_x0020_37 line_x0020_38 group_x0020_39 rectangle_x0020_40 group_x0020_41 autoshape_x0020_42 autoshape_x0020_43 group_x0020_44 rectangle_x0020_45 group_x0020_46 line_x0020_47 line_x0020_48 line_x0020_49 line_x0020_50 line_x0020_51 line_x0020_52 group_x0020_53 line_x0020_54 line_x0020_55 line_x0020_56 line_x0020_57 line_x0020_58 line_x0020_59 line_x0020_60 line_x0020_61 line_x0020_62 line_x0020_63 line_x0020_64 line_x0020_65 line_x0020_66 line_x0020_67 line_x0020_68 group_x0020_69 line_x0020_70 line_x0020_71 line_x0020_72 line_x0020_73 line_x0020_74 arc_x0020_75 autoshape_x0020_76" width="21",img alt="" height="53" src="/files/attach/files/content/2020/0325/9d5bafe464f967548169d4382030d31e.png" v:shapes="任意多边形_x0020_9021" width="30",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c8e3bd64b1437124889dafb0b98b_7327157ex.png,7124889dafb0b98b_7327157ex.png,,,,,,,,,,,,
关于容量瓶的四种叙述：①是配制准确浓度的仪器；②不宜贮藏溶液 ③不能用来加热；④使用之前要检査是否漏水。这些叙述中正确的是( ),①②③④,②③,①②,②③④,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ba54ae94fc904a199fb238c151a9_6311867ex.png,4a199fb238c151a9_6311867ex.png,,,,,,,,,,,,
在实验室进行蒸发操作时需要用到的仪器是（ ）,玻璃棒,分液漏斗,长颈漏斗,温度计,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c8119185e14da87e6e6130ed8f90_6375665ex.png,a87e6e6130ed8f90_6375665ex.png,,,,,,,,,,,,
下列物质中可以随身携带乘火车、轮船或飞机的是（ ）,硫黄,氯酸钾,硝酸钾,碘盐,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5268a7e5b6333f718c6b7a50ab04_1301851ex.png,3f718c6b7a50ab04_1301851ex.png,,,,,,,,,,,,
容量瓶上不需要标注的项目是（ ）,温度,容量,浓度,刻度线,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1fea791dcd832c5c7b81c415c65c_3894471ex.png,2c5c7b81c415c65c_3894471ex.png,,,,,,,,,,,,
进行化学实验时必须注意安全，下列说法错误的是 （ ）  ①不慎将浓盐酸洒在桌面上，应立即用浓氢氧化钠溶液冲洗②不慎将浓碱溶液沾到皮肤上，要立即用大量水冲洗，然后涂上硼酸溶液③不慎将酸溅到眼中，应立即用大量水冲洗，边洗边眨眼睛④配制稀硫酸时，可先在量筒中加入一定体积的水，再边搅拌边慢慢加入浓硫酸⑤不慎将酒精洒到桌面上引起着火，应立即用较多的水浇灭⑥实验室用剩的白磷直接倒入垃圾箱⑦浓硫酸不慎沾在皮肤上，应立即用大量水冲洗，最后涂上3%～5%的小苏打溶液,①②③⑦,②③④⑥,①④⑤⑥,全部,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/04710df33d6f5c39f31f87851c00_14518267ex.png,c39f31f87851c00_14518267ex.png,,,,,,,,,,,,
用浓硫酸配制稀硫酸时，不必要的个人安全防护用品是（ ）,实验服,橡胶手套,护目镜,磷酸氢钙,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fbaf56d8b9a1499905663c2f8fcf_8164831ex.png,499905663c2f8fcf_8164831ex.png,,,,,,,,,,,,
以下是一些常用的危险品标志图标，在装运乙醇的包装箱上应贴的图标是（ ）,img alt="" height="106" src="/files/attach/files/content/2020/0325/f03c613a78faba6abd93fcc2d2fbc55e.png" v:shapes="_x0000_i1029" width="110",img alt="" height="100" src="/files/attach/files/content/2020/0325/9347b0fba7d70bc8ddd77334647f05bb.png" v:shapes="_x0000_i1030" width="100"/> ,img alt="" height="105" src="/files/attach/files/content/2020/0325/84537da5c9ee9c79774a79a7ef50b602.png" v:shapes="_x0000_i1031" width="101",img alt="" height="104" src="/files/attach/files/content/2020/0325/c04b622eaba9f186ff0f46aa70f87f26.png" v:shapes="_x0000_i1032" width="106",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2cecf1f8b71fb0d6f4c38f7f2b10_3894204ex.png,b0d6f4c38f7f2b10_3894204ex.png,,,,,,,,,,,,
下列化学品的分类不正确的是（ ）,烧碱——腐蚀品,四氯化碳——易燃液体,金属钠——遇湿易燃物品,高锰酸钾——氧化剂,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/7caae16fcb1eb8de46546ef28f16_6376985ex.png,b8de46546ef28f16_6376985ex.png,,,,,,,,,,,,
下列实验仪器需要垫石棉网加热的是（ ）,蒸馏烧瓶,坩埚,蒸发皿,试管,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b5c4f855ed6937136844e26194d0_3894599ex.png,37136844e26194d0_3894599ex.png,,,,,,,,,,,,
进行化学实验必须注意安全。下列做法错误的是（ ）,不慎将酒精灯打翻在桌上失火时，立即用湿抹布盖灭,不慎将酸液溅到眼中，应立即用水冲洗，边洗边眨眼睛,配制稀硫酸时，可先在量筒中加入一定体积水，再在搅拌下慢慢加入浓硫酸,不慎将浓碱溶液沾到皮肤上，要立即用大量水冲洗，然后涂上硼酸溶液,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/df3dcc12c28505feba2038dc84e1_13178290ex.png,5feba2038dc84e1_13178290ex.png,,,,,,,,,,,,
下列有关化学实验安全问题的叙述中错误的是（ ）,少量的浓硫酸沾到皮肤上时，可以直接用大量的水冲洗,凡是给玻璃仪器加热时，都要加垫石棉网，以防仪器炸裂,取用化学药品时，应特别注意观察药品包装容器的安全警示标记,闻任何化学药品的气味都不能使鼻子凑近药品,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b305dde5e479ff25990ffd96f990_13910210ex.png,f25990ffd96f990_13910210ex.png,,,,,,,,,,,,
下列化学实验操作或事故处理方法不正确的是（ ）,不慎将浓碱溶液沾到皮肤上，要立即用大量水冲洗，然后涂上硼酸,实验台上的酒精灯碰翻着火，立即用湿抹布扑灭,皮肤溅上浓H<sub>2</sub>SO<sub>4</sub>  ， 应先用干布擦拭并立即用大量水冲洗,用激光笔的光束分别照射Fe（OH）<sub>3</sub>胶体与Na<sub>2</sub>SO<sub>4</sub>溶液时的现象相同,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c872a5efd718586ec8d23a850ee2_2752632ex.png,586ec8d23a850ee2_2752632ex.png,,,,,,,,,,,,
进行化学实验时应强化安全意识．下列做法正确的是（ ）,用试管加热碳酸氢钠固体时使试管口竖直向上,金属钠着火时使用泡沫灭火器灭火,验证氯气能否与水反应的实验时，用氢氧化钠溶液处理尾气,浓硫酸溅到皮肤上时立即用稀氢氧化钠溶液冲洗,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/cda217f09984849ca100c8cc778b_2752473ex.png,849ca100c8cc778b_2752473ex.png,,,,,,,,,,,,
一些装有化学物质的容器上常贴有危险化学品的标志．下列标志中，应贴在装有浓硫酸的容器上的是（ ）,img alt="" height="75" src="/files/attach/files/content/2020/0325/aac92b9f9c38a14c32e07038c8f98e7d.png" v:shapes="picture24" width="81",img alt="" height="73" src="/files/attach/files/content/2020/0325/2662024cc867c0f0aaa653e9627e58bd.png" v:shapes="_x0000_i1026" width="80",img alt="" height="71" src="/files/attach/files/content/2020/0325/f081ed761dd598a483eae62f3ac65ae9.png" v:shapes="_x0000_i1027" width="81",img alt="" height="73" src="/files/attach/files/content/2020/0325/00a872efc66ac87b5c6a8f0ff1b62f7d.png" v:shapes="_x0000_i1028" width="84",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/80fb35e9b03bfa23e2b28fc5c10a_2733151ex.png,fa23e2b28fc5c10a_2733151ex.png,,,,,,,,,,,,
下列物质与危险化学品标志的对应关系不正确的是（ ）,img alt="" height="80" src="/files/attach/files/content/2020/0325/d722a989384b835a3cedb90f848fb5e6.png" v:shapes="picture24" width="80"/>乙醇,img alt="" height="81" src="/files/attach/files/content/2020/0325/c2b819e2e3db6db1ac15f0c1462f69aa.png" v:shapes="_x0000_i1026" width="82"/>天然气,img alt="" height="85" src="/files/attach/files/content/2020/0325/52359568be321cda389d93cff3446368.png" v:shapes="_x0000_i1027" width="85"/>浓硫酸,img alt="" height="82" src="/files/attach/files/content/2020/0325/51e832cd142c51fbef8495abbd04ec8c.png" v:shapes="_x0000_i1028" width="82"/>氢氧化钠,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d06cb489adc63e480d238d575510_3128328ex.png,3e480d238d575510_3128328ex.png,,,,,,,,,,,,
下列实验仪器不宜直接用来加热的是（ ）,试管,坩埚,蒸发皿,烧杯,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f106d3606833b28a1e288d3d3f9c_3236899ex.png,b28a1e288d3d3f9c_3236899ex.png,,,,,,,,,,,,
下列实验操作或方法中，不合理的是（　　）,用钥匙取用少量二氧化锰粉末,向燃着的酒精灯中直接添加酒精,实验室加热高猛酸钾制氧气的装置制取氨气,实验室将少量金属钠保存在煤油中,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3c9d95c17a60499118fb701c7fab_2309313ex.png,499118fb701c7fab_2309313ex.png,,,,,,,,,,,,
下列行为中，符合安全要求的是（ ）,节日期间，在任意场所燃放烟花爆竹,实验时，将水倒入浓硫酸配置稀硫酸,煤矿矿井，必须通风，严禁烟火,用点燃的火柴在液化气钢瓶口检验是否漏气,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a034c677aaf7247b825b113b7ca3_7815063ex.png,247b825b113b7ca3_7815063ex.png,,,,,,,,,,,,
下列实验操作中，不正确的是（　　）,金属钠在用小刀切割后，剩余的钠应放回煤油中,焰色反应实验前，铂丝应先用盐酸洗涤后灼烧至无色，焰色反应是一种物理变化,实验室制备氢氧化亚铁时，滴加氢氧化钠溶液的胶头滴管伸入液面下,将烧碱溶液保存在磨口的细口玻璃瓶中,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b39409153824385b43c02c6621d1_2309308ex.png,385b43c02c6621d1_2309308ex.png,,,,,,,,,,,,
